time, alt, thrust, weight, ADC_guess, ADC_actual, ADC_adj, ADC_error, A_raw, A_total, A_h, A_v, bigG, V_as, V_horiz_mph, V_vert_inc, V_vert 
0.0, 30, 30295568.1287, 22191271.2700, 0.000001180, 0.00000000, 0.000000, 0.0000000, 1.3607890, 1.3607890, 0.00000000, 0.36345, 0.9973363983, 0.000000, 912.670000, 0.0, 0.00000000
1.0, 36, 32254623.6003, 22079560.9757, 0.000180523, 0.00014577, 0.000146, -0.0000000, 1.4519614, 1.4518156, 0.00000000, 0.45448, 0.9973363975, 8.925901, 912.670000, 1.4, 13.09132100
2.0, 57, 34214934.1057, 21961529.6157, 0.000819369, 0.00072779, 0.000728, -0.0000000, 1.5490192, 1.5482914, 0.00000000, 0.55096, 0.9973363948, 19.952154, 912.670000, 1.8, 29.26315871
3.0, 96, 35948491.2068, 21837201.9887, 0.002175125, 0.00200043, 0.002000, -0.0000000, 1.6446903, 1.6426898, 0.00000000, 0.64535, 0.9973363899, 33.101785, 912.670000, 2.1, 48.54928476
4.0, 155, 35953550.9864, 21710123.9388, 0.004339657, 0.00408898, 0.004089, -0.0000000, 1.6560460, 1.6519571, 0.00000000, 0.65462, 0.9973363824, 47.376232, 912.670000, 2.1, 69.48514028
5.0, 235, 35960403.0299, 21583061.7326, 0.007269028, 0.00694139, 0.006941, -0.0000000, 1.6661045, 1.6591631, 0.00000000, 0.66183, 0.9973363722, 61.816619, 912.670000, 2.1, 90.66437519
6.0, 336, 35969043.4364, 21456020.2070, 0.010748051, 0.01040135, 0.010401, -0.0000000, 1.6763642, 1.6659628, 0.63060175, 0.54468, 0.9973161559, 75.809384, 916.124707, 1.8, 111.07158539
7.0, 456, 35979242.0386, 21329003.9432, 0.014879498, 0.01441198, 0.014412, -0.0000000, 1.6868184, 1.6724064, 0.63768874, 0.54882, 0.9972340446, 89.429931, 930.030716, 1.8, 128.66870342
8.0, 594, 35990899.2599, 21202016.9344, 0.020220090, 0.01963185, 0.019632, -0.0000000, 1.6974644, 1.6778325, 0.64398002, 0.55217, 0.9971498868, 104.636874, 944.070298, 1.8, 146.39432254
9.0, 749, 36004006.7436, 21075063.0677, 0.026761781, 0.02605400, 0.026054, -0.0000000, 1.7083048, 1.6822508, 0.64748488, 0.55558, 0.9970636854, 120.883117, 958.237048, 1.8, 164.21671443
10.0, 922, 36018552.3186, 20948146.1894, 0.034485252, 0.03366047, 0.033660, -0.0000000, 1.7193423, 1.6856818, 0.65222049, 0.55741, 0.9969757301, 137.833657, 972.478786, 1.8, 182.13275539
11.0, 1113, 36034519.0665, 20821270.0939, 0.043360219, 0.04242205, 0.042422, -0.0000000, 1.7305793, 1.6881573, 0.65421263, 0.55934, 0.9968859112, 155.274894, 986.809617, 1.8, 200.09983308
12.0, 1322, 36051886.4165, 20694438.5091, 0.053343943, 0.05229709, 0.052297, -0.0000000, 1.7420181, 1.6897210, 0.65549600, 0.56059, 0.9967945448, 173.060887, 1001.176307, 1.8, 218.11806104
13.0, 1549, 36070630.5255, 20567655.0875, 0.064384408, 0.06323447, 0.063234, -0.0000000, 1.7536610, 1.6904265, 0.65611247, 0.56119, 0.9967017187, 191.089690, 1015.563753, 1.8, 236.16587745
14.0, 1795, 36090723.6573, 20440923.3953, 0.076421313, 0.07517466, 0.075175, 0.0000000, 1.7655100, 1.6903353, 0.65611012, 0.56119, 0.9966075200, 209.287116, 1029.957843, 1.8, 254.22312921
15.0, 2058, 36112134.4141, 20314246.9013, 0.089387126, 0.08805080, 0.088051, 0.0000000, 1.7775670, 1.6895162, 0.65554241, 0.56063, 0.9965120333, 227.597186, 1044.345579, 1.8, 272.27125510
16.0, 2339, 36134827.9911, 20187628.9671, 0.103208229, 0.10178984, 0.101790, 0.0000000, 1.7898339, 1.6880440, 0.65446742, 0.55958, 0.9964153398, 245.976487, 1058.715188, 1.8, 290.29344365
17.0, 2638, 36158766.4526, 20061072.8376, 0.117806100, 0.11631368, 0.116314, 0.0000000, 1.8023123, 1.6859986, 0.65294693, 0.55810, 0.9963175159, 264.390725, 1073.056214, 1.8, 308.27476430
18.0, 2956, 36183909.2404, 19934581.6334, 0.133092000, 0.13153514, 0.131535, 0.0000000, 1.8150038, 1.6834687, 0.64904963, 0.55709, 0.9962187696, 282.806897, 1087.339866, 1.8, 326.21442548
19.0, 3291, 36210214.6079, 19808158.3452, 0.148980689, 0.14736692, 0.147367, 0.0000000, 1.8279101, 1.6805432, 0.64684428, 0.55494, 0.9961191997, 301.201341, 1101.554287, 1.8, 344.10442485
20.0, 3644, 36237637.2839, 19681805.8288, 0.165391057, 0.16372900, 0.163729, 0.0000000, 1.8410326, 1.6773036, 0.64439414, 0.55255, 0.9960186962, 319.563773, 1115.717522, 1.8, 361.92123817
21.0, 4015, 36266130.4809, 19555526.7973, 0.182222416, 0.18052229, 0.180522, 0.0000000, 1.8543727, 1.6738504, 0.63977705, 0.55083, 0.9959175748, 337.869184, 1129.787744, 1.8, 379.68108213
22.0, 4403, 36295646.2916, 19429323.8191, 0.199401190, 0.19767005, 0.197670, 0.0000000, 1.8679317, 1.6702617, 0.63705378, 0.54817, 0.9958156574, 356.117475, 1143.792703, 1.8, 397.36098825
23.0, 4809, 36326134.6173, 19303199.3139, 0.216831352, 0.21507927, 0.215079, 0.0000000, 1.8817110, 1.6666318, 0.63229768, 0.54631, 0.9957131354, 374.294662, 1157.708892, 1.8, 414.97190708
24.0, 5233, 36349545.2713, 19177155.5502, 0.234438215, 0.23267215, 0.232672, 0.0000000, 1.8957120, 1.6630399, 0.62957047, 0.54365, 0.9956099333, 392.401492, 1171.549498, 1.7, 432.50588977
25.0, 5674, 36301825.2391, 19051372.9243, 0.252059849, 0.25030112, 0.250301, 0.0000000, 1.9057188, 1.6554177, 0.62169448, 0.53873, 0.9955064643, 410.380861, 1185.262655, 1.7, 449.92422442
26.0, 6133, 36254917.3376, 18925998.5952, 0.269562181, 0.26781899, 0.267819, 0.0000000, 1.9158605, 1.6480415, 0.61400503, 0.53398, 0.9954030944, 428.180675, 1198.804968, 1.7, 467.18679545
27.0, 6609, 36208763.2418, 18801033.3816, 0.286866808, 0.28514671, 0.285147, 0.0000000, 1.9261360, 1.6409892, 0.60656354, 0.52946, 0.9952998307, 445.804943, 1212.181211, 1.7, 484.30008880
28.0, 7101, 36163304.8145, 18676477.9085, 0.303904112, 0.30221397, 0.302214, 0.0000000, 1.9365440, 1.6343300, 0.59942485, 0.52523, 0.9951966340, 463.261564, 1225.401814, 1.7, 501.26986782
29.0, 7611, 36118484.3298, 18552332.6135, 0.320611399, 0.31895743, 0.318957, 0.0000000, 1.9470834, 1.6281260, 0.59263849, 0.52133, 0.9950934518, 480.560512, 1238.478364, 1.7, 518.10363933
30.0, 8138, 36074244.7186, 18428597.7526, 0.336932768, 0.33532054, 0.335321, 0.0000000, 1.9577531, 1.6224325, 0.58624882, 0.51781, 0.9949902187, 497.713610, 1251.423499, 1.7, 534.81051062
31.0, 8681, 36030529.7286, 18305273.4079, 0.352815266, 0.35124731, 0.351247, 0.0000000, 1.9685518, 1.6173045, 0.58229976, 0.51394, 0.9948869460, 514.729901, 1264.239834, 1.7, 551.40722240
32.0, 9240, 35987283.8061, 18182359.4945, 0.368212959, 0.36669597, 0.366696, 0.0000000, 1.9794785, 1.6127825, 0.57682427, 0.51131, 0.9947835122, 531.625771, 1276.946108, 1.6, 567.90287416
33.0, 9816, 35944452.7936, 18059855.7682, 0.383098259, 0.38163353, 0.381634, 0.0000000, 1.9905319, 1.6088984, 0.57384838, 0.50839, 0.9946797462, 548.420871, 1289.566257, 1.6, 584.30546282
34.0, 10409, 35901983.2878, 17937761.8326, 0.397419009, 0.39601227, 0.396012, 0.0000000, 2.0017110, 1.6056987, 0.56940952, 0.50676, 0.9945757574, 565.121348, 1302.089650, 1.6, 600.64337828
35.0, 11018, 35859823.5176, 17816077.1478, 0.411168224, 0.40981971, 0.409820, 0.0000000, 2.0130148, 1.6031951, 0.56751761, 0.50490, 0.9944712099, 581.756034, 1314.558948, 1.6, 616.91660791
36.0, 11643, 35817922.1437, 17694801.0367, 0.424322001, 0.42303405, 0.423034, 0.0000000, 2.0244422, 1.6014082, 0.56618968, 0.50360, 0.9943659571, 598.344359, 1326.992896, 1.6, 633.13896998
37.0, 12284, 35776229.3293, 17573932.6920, 0.436847223, 0.43562443, 0.435624, 0.0000000, 2.0359922, 1.6003678, 0.56344967, 0.50363, 0.9942600310, 614.897194, 1339.388727, 1.6, 649.33705806
38.0, 12941, 35734697.6195, 17453471.1855, 0.448723468, 0.44756484, 0.447565, 0.0000000, 2.0476640, 1.6000992, 0.56331750, 0.50350, 0.9941534398, 631.427136, 1351.746503, 1.6, 665.53715531
39.0, 13615, 35693280.2157, 17333415.4760, 0.459956917, 0.45886118, 0.458861, 0.0000000, 2.0594567, 1.6005955, 0.56578820, 0.50320, 0.9940457699, 647.967363, 1364.114582, 1.6, 681.73893428
40.0, 14305, 35651930.6092, 17213764.4145, 0.470548284, 0.46951924, 0.469519, 0.0000000, 2.0713693, 1.6018501, 0.56685669, 0.50425, 0.9939366327, 664.549244, 1376.536793, 1.6, 697.94426821
41.0, 15011, 35610604.0992, 17094516.7499, 0.480467477, 0.47950605, 0.479506, 0.0000000, 2.0834012, 1.6038952, 0.56854771, 0.50591, 0.9938262269, 681.175575, 1388.989260, 1.6, 714.19306794
42.0, 15733, 35569257.8740, 16975671.1376, 0.489706194, 0.48881315, 0.488813, 0.0000000, 2.0955516, 1.6067384, 0.57086684, 0.50818, 0.9937144218, 697.865421, 1401.485704, 1.6, 730.50506426
43.0, 16472, 35527850.0069, 16857226.1467, 0.498282417, 0.49745578, 0.497456, 0.0000000, 2.1078198, 1.6103640, 0.57580105, 0.51029, 0.9936007454, 714.653811, 1414.077081, 1.6, 746.87904214
44.0, 17227, 35486339.5727, 16739180.2642, 0.506170469, 0.50541080, 0.505411, 0.0000000, 2.1202052, 1.6147944, 0.58136697, 0.51301, 0.9934853100, 731.547547, 1426.748507, 1.7, 763.35047715
45.0, 17999, 35452687.0499, 16621531.9025, 0.513382996, 0.51269259, 0.512693, 0.0000000, 2.1327071, 1.6200146, 0.58555191, 0.51711, 0.9933676661, 748.579880, 1439.546614, 1.7, 779.92042161
46.0, 18787, 35490854.8030, 16504107.1039, 0.520015848, 0.51937545, 0.519375, 0.0000000, 2.1501949, 1.6308195, 0.59811278, 0.52392, 0.9932472507, 765.828514, 1452.528526, 1.7, 796.66612218
47.0, 19592, 35528809.2944, 16386763.8964, 0.526126555, 0.52554015, 0.525540, -0.0000000, 2.1679097, 1.6423695, 0.60924596, 0.53205, 0.9931232833, 783.379317, 1465.772497, 1.7, 813.65080828
48.0, 20414, 35566518.4321, 16269501.5275, 0.531705304, 0.53117190, 0.531172, -0.0000000, 2.1858543, 1.6546824, 0.62296277, 0.53993, 0.9929955761, 801.249798, 1479.291219, 1.7, 830.89175855
49.0, 21254, 35603950.5426, 16152319.1831, 0.536738009, 0.53625919, 0.536259, -0.0000000, 2.2040315, 1.6677723, 0.63727207, 0.54834, 0.9928638707, 819.460502, 1493.104168, 1.8, 848.40257302
50.0, 22111, 35641074.3215, 16035215.9888, 0.541211321, 0.54078871, 0.540789, -0.0000000, 2.2224444, 1.6816557, 0.65218408, 0.55730, 0.9927279197, 838.031268, 1507.228820, 1.8, 866.19825346
51.0, 22986, 35677858.9994, 15918191.0118, 0.545109055, 0.54474545, 0.544745, -0.0000000, 2.2410962, 1.6963507, 0.66571027, 0.56767, 0.9925874860, 856.981330, 1521.680719, 1.8, 884.29533925
52.0, 23880, 35714274.3118, 15801243.2625, 0.548419148, 0.54811507, 0.548115, -0.0000000, 2.2599899, 1.7118748, 0.68186160, 0.57776, 0.9924423007, 876.331138, 1536.477861, 1.9, 902.70922516
53.0, 24792, 35750290.3773, 15684371.6963, 0.551126633, 0.55088273, 0.550883, -0.0000000, 2.2791291, 1.7282463, 0.70064947, 0.58754, 0.9922920835, 896.101410, 1551.638473, 1.9, 921.45546931
54.0, 25723, 35785877.7076, 15567575.2152, 0.553213979, 0.55303312, 0.553033, -0.0000000, 2.2985172, 1.7454841, 0.71808565, 0.59878, 0.9921365420, 916.313151, 1567.181018, 1.9, 940.54980879
55.0, 26673, 35821007.3792, 15450852.6689, 0.554667539, 0.55455150, 0.554551, -0.0000000, 2.3181579, 1.7636064, 0.73618150, 0.61061, 0.9919753486, 936.988564, 1583.126451, 2.0, 960.00668112
56.0, 27643, 35855650.8585, 15334202.8567, 0.555468146, 0.55541771, 0.555418, -0.0000000, 2.3380550, 1.7826373, 0.75495254, 0.62306, 0.9918082737, 958.145828, 1599.485005, 2.0, 979.84812985
57.0, 28633, 35889780.1339, 15217624.5290, 0.555627899, 0.55562051, 0.555621, 0.0000000, 2.3582124, 1.8025919, 0.77640758, 0.63516, 0.9916348726, 979.811227, 1616.286945, 2.0, 1000.08303286
58.0, 29643, 35923353.5096, 15101116.3807, 0.555656220, 0.55567665, 0.555677, 0.0000000, 2.3786336, 1.8229569, 0.87027164, 0.61035, 0.9914412876, 1002.478405, 1634.842516, 2.0, 1019.76038107
59.0, 30673, 35956320.7725, 14984677.0142, 0.555154082, 0.55522918, 0.555229, 0.0000000, 2.3993211, 1.8440920, 0.91407527, 0.61035, 0.9912347099, 1025.871259, 1654.413915, 2.0, 1039.39781249
60.0, 31722, 35988646.5989, 14868304.9566, 0.554087282, 0.55422026, 0.554220, 0.0000000, 2.4202788, 1.8660586, 0.95798307, 0.61035, 0.9910153341, 1049.976573, 1674.947156, 2.0, 1059.03524391
61.0, 32791, 36020297.8323, 14751998.6761, 0.552425861, 0.55261953, 0.552620, 0.0000000, 2.4415108, 1.8888913, 1.00210164, 0.61035, 0.9907827402, 1074.804083, 1696.445734, 2.0, 1078.67267532
62.0, 33879, 36051243.4769, 14635756.5865, 0.550143668, 0.55040049, 0.550400, 0.0000000, 2.4630214, 1.9126209, 1.04651820, 0.61035, 0.9905364648, 1100.365598, 1718.915261, 2.0, 1098.31010674
63.0, 34987, 36081454.7529, 14519577.0523, 0.547218061, 0.54754015, 0.547540, 0.0000000, 2.4848153, 1.9372752, 1.09130472, 0.61035, 0.9902760039, 1126.674663, 1742.363086, 2.0, 1117.94753816
64.0, 36115, 36110910.2671, 14403458.3936, 0.543626756, 0.54401361, 0.544014, 0.0000000, 2.5068976, 1.9628840, 1.13653004, 0.61035, 0.9900008140, 1153.746303, 1766.798012, 2.0, 1137.58496958
65.0, 37262, 36139421.9134, 14287398.8088, 0.539554214, 0.53997825, 0.539978, 0.0000000, 2.5292651, 1.9892869, 1.18193653, 0.61035, 0.9897103364, 1181.595298, 1792.228040, 2.0, 1157.22240099
66.0, 38429, 36166852.7343, 14171396.0598, 0.535107022, 0.53556871, 0.535569, 0.0000000, 2.5519122, 2.0163435, 1.22732537, 0.61035, 0.9894040738, 1210.231200, 1818.653823, 2.0, 1176.85983241
67.0, 39616, 36193211.3417, 14055447.8363, 0.530282135, 0.53078165, 0.530782, 0.0000000, 2.5748467, 2.0440650, 1.27275888, 0.61035, 0.9890815130, 1239.663400, 1846.075681, 2.0, 1196.49726383
68.0, 40822, 36218508.8243, 13939551.8632, 0.525079053, 0.52561635, 0.525616, 0.0000000, 2.5980768, 2.0724605, 1.31828896, 0.61035, 0.9887421067, 1269.902243, 1874.495181, 2.0, 1216.13469525
69.0, 42048, 36242758.5692, 13823705.9037, 0.519499562, 0.52007435, 0.520074, 0.0000000, 2.6216111, 2.1015367, 1.36395946, 0.61035, 0.9883852738, 1300.958853, 1903.914935, 2.0, 1235.77212666
70.0, 43294, 36265976.0837, 13707907.7637, 0.513547527, 0.51415934, 0.514159, 0.0000000, 2.6454584, 2.1312991, 1.40980757, 0.61035, 0.9880104013, 1332.844982, 1934.338442, 2.0, 1255.40955808
71.0, 44559, 36288178.8175, 13592155.2946, 0.507228708, 0.50787689, 0.507877, 0.0000000, 2.6696284, 2.1617515, 1.45586503, 0.61035, 0.9876168441, 1365.572891, 1965.769956, 2.0, 1275.04698950
72.0, 45844, 36309385.9854, 13476446.3963, 0.500550613, 0.50123434, 0.501234, 0.0000000, 2.6941308, 2.1928965, 1.50215898, 0.61035, 0.9872039258, 1399.155243, 1998.214373, 2.0, 1294.68442092
73.0, 47149, 36329618.3930, 13360779.0197, 0.493522356, 0.49424065, 0.494241, 0.0000000, 2.7189761, 2.2247354, 1.54871274, 0.61035, 0.9867709387, 1433.605016, 2031.677145, 2.0, 1314.32185233
74.0, 48473, 36348898.2658, 13245151.1689, 0.486154545, 0.48690627, 0.486906, 0.0000000, 2.7441750, 2.2572687, 1.59554633, 0.61035, 0.9863171442, 1468.935429, 2066.164195, 2.0, 1333.95928375
75.0, 49817, 36367249.0809, 13129560.9030, 0.478437157, 0.47924309, 0.479221, -0.0000223, 2.7697389, 2.2905181, 1.64270809, 0.61035, 0.9858417718, 1505.159903, 2101.681891, 2.0, 1353.59671517
76.0, 51180, 36384695.4049, 13014006.3380, 0.470429754, 0.47126422, 0.471264, -0.0000200, 2.7956795, 2.3244151, 1.69011947, 0.61035, 0.9853440210, 1542.291926, 2138.236877, 2.0, 1373.23414659
77.0, 52563, 36401262.7351, 12898485.6474, 0.462122261, 0.46298399, 0.462984, -0.0000179, 2.8220092, 2.3590250, 1.73788728, 0.61035, 0.9848230596, 1580.345074, 2175.836117, 2.0, 1392.87157800
78.0, 53966, 36416977.3482, 12782997.0640, 0.453530240, 0.45441784, 0.454418, -0.0000161, 2.8487407, 2.3943226, 1.78599133, 0.61035, 0.9842780226, 1619.333010, 2214.486901, 2.0, 1412.50900942
79.0, 55388, 36431866.1537, 12667538.8800, 0.444670247, 0.44558221, 0.445582, -0.0000144, 2.8758873, 2.4303049, 1.83444148, 0.61035, 0.9837080136, 1659.269376, 2254.196716, 2.0, 1432.14644084
80.0, 56830, 36445956.5550, 12552109.4478, 0.435559740, 0.43649445, 0.436495, -0.0000129, 2.9034628, 2.4669682, 1.88324637, 0.61035, 0.9831121039, 1700.167794, 2294.973252, 2.0, 1451.78387226
81.0, 58292, 36459276.3163, 12436707.1801, 0.426216987, 0.42717274, 0.427173, -0.0000116, 2.9314816, 2.5043087, 1.93241371, 0.61035, 0.9824893315, 1742.041845, 2336.824375, 2.0, 1471.42130367
82.0, 59773, 35683224.6132, 12324006.6331, 0.415995017, 0.41703937, 0.417040, -0.0000127, 2.8952756, 2.4782361, 1.89902911, 0.61035, 0.9818623805, 1783.629699, 2378.206217, 2.0, 1491.05873509
83.0, 61274, 34208780.4667, 12216644.6831, 0.404380038, 0.40556373, 0.405564, -0.0000160, 2.8000428, 2.3944788, 1.78888775, 0.61035, 0.9812579546, 1823.517855, 2417.421120, 2.0, 1510.69616651
84.0, 62794, 32731934.9259, 12114882.7331, 0.391491891, 0.39280005, 0.392800, -0.0000195, 2.7016725, 2.3088722, 1.67311682, 0.61035, 0.9806833337, 1861.381877, 2454.110750, 2.0, 1530.33359793
85.0, 64334, 32212951.0969, 12015480.7831, 0.378259869, 0.37959593, 0.379596, -0.0000192, 2.6808393, 2.3012431, 1.66312188, 0.61035, 0.9801090187, 1898.823913, 2490.234367, 2.0, 1549.97102934
86.0, 65894, 31799390.2702, 11917718.8331, 0.364871707, 0.36621921, 0.366219, -0.0000185, 2.6681375, 2.3019180, 1.66461162, 0.61035, 0.9795262721, 1936.306199, 2526.355293, 2.0, 1569.60846076
87.0, 67474, 31384672.2898, 11821556.8831, 0.351427727, 0.35277721, 0.352777, -0.0000178, 2.6547680, 2.3019906, 1.66527590, 0.61035, 0.9789347056, 1973.845957, 2562.497052, 2.0, 1589.24589218
88.0, 69073, 30968860.7325, 11726994.9331, 0.337986959, 0.33933411, 0.339334, -0.0000171, 2.6407252, 2.3013908, 1.66501870, 0.61035, 0.9783346249, 2011.424812, 2598.640220, 2.0, 1608.88332360
89.0, 70691, 30338353.6671, 11634752.9831, 0.324448708, 0.32580436, 0.325805, -0.0000172, 2.6074774, 2.2816728, 1.63823854, 0.61035, 0.9777344460, 2048.622094, 2634.286718, 2.0, 1628.52075501
90.0, 72330, 29706756.1475, 11544911.0331, 0.310866000, 0.31222424, 0.312224, -0.0000172, 2.5730682, 2.2608437, 1.60969205, 0.61035, 0.9771365587, 2085.331916, 2669.316844, 2.0, 1648.15818643
91.0, 73988, 29287945.8158, 11456749.0831, 0.297426420, 0.29876804, 0.298768, -0.0000165, 2.5563191, 2.2575508, 1.60565941, 0.61035, 0.9765335207, 2121.931277, 2704.183335, 2.0, 1667.79561785
92.0, 75665, 28975240.1685, 11369827.1331, 0.284230889, 0.28554632, 0.285547, -0.0000155, 2.5483647, 2.2628181, 1.61365907, 0.61035, 0.9759200646, 2158.676512, 2739.191881, 2.0, 1687.43304927
93.0, 77363, 28661820.6539, 11284105.1831, 0.271301868, 0.27258932, 0.272590, -0.0000145, 2.5399539, 2.2673644, 1.62063816, 0.61035, 0.9752957230, 2195.584595, 2774.363124, 2.0, 1707.07048068
94.0, 79079, 28347735.4365, 11199583.2331, 0.258656886, 0.25991472, 0.259915, -0.0000136, 2.5310834, 2.2711685, 1.62657393, 0.61035, 0.9746607913, 2232.635826, 2809.674333, 2.0, 1726.70791210
95.0, 80816, 28140035.3223, 11115901.2831, 0.246363741, 0.24758509, 0.247585, -0.0000125, 2.5314573, 2.2838720, 1.64488983, 0.61035, 0.9740110112, 2270.023550, 2845.353168, 2.0, 1746.34534352
96.0, 82572, 27931801.9245, 11033019.3331, 0.234429722, 0.23561425, 0.235614, -0.0000116, 2.5316047, 2.2959903, 1.66230723, 0.61035, 0.9733456836, 2307.768803, 2881.423467, 2.0, 1765.98277494
97.0, 84348, 23869374.3212, 9341096.4000, 0.222969930, 0.22410602, 0.224106, -0.0000101, 2.5552600, 2.3311539, 1.71118540, 0.61035, 0.9726534240, 2346.379060, 2918.477961, 2.0, 1785.62020635
98.0, 86143, 23873637.4667, 9273494.4500, 0.211948819, 0.21304060, 0.213041, -0.0000090, 2.5743505, 2.3613098, 1.75269194, 0.61035, 0.9719343590, 2385.820375, 2956.472516, 2.0, 1805.25763777
99.0, 87958, 23877588.9509, 9205892.5000, 0.201352471, 0.20240132, 0.202401, -0.0000080, 2.5936874, 2.3912860, 1.79352859, 0.61035, 0.9711885034, 2426.064616, 2995.370128, 2.0, 1824.89506919
100.0, 89793, 23881248.4682, 9138290.5500, 0.191168943, 0.19217614, 0.192176, -0.0000071, 2.6132782, 2.4211019, 1.83375758, 0.61035, 0.9704154443, 2467.103158, 3035.156795, 2.0, 1844.53250061
101.0, 91648, 23884634.7607, 9070688.6000, 0.181386974, 0.18235372, 0.182354, -0.0000063, 2.6331306, 2.4507768, 1.87343574, 0.61035, 0.9696147417, 2508.928372, 3075.819820, 2.0, 1864.16993202
102.0, 93522, 23887765.6368, 9003086.6500, 0.171995842, 0.17292329, 0.172923, -0.0000056, 2.6532527, 2.4803293, 1.91261532, 0.61035, 0.9687859296, 2551.533532, 3117.347698, 2.0, 1883.80736344
103.0, 95415, 23890657.9921, 8935484.7000, 0.162985242, 0.16387448, 0.163875, -0.0000050, 2.6736523, 2.5097777, 1.95134479, 0.61035, 0.9679285172, 2594.912737, 3159.730032, 2.0, 1903.44479486
104.0, 97328, 23893327.8328, 8867882.7500, 0.154345194, 0.15519728, 0.155197, -0.0000045, 2.6943377, 2.5391403, 1.98966938, 0.61035, 0.9670419892, 2639.060851, 3202.957448, 2.0, 1923.08222628
